NHÓM,Variable,R2,p_value,Coefficient,MAE_M,Significant
01XXXX,CPI YoY %,0.0001,0.9353,-58674.0,5.4,No
01XXXX,Interest Rate %,0.0132,0.3374,-1306403.0,5.3,No
01XXXX,GDP Growth %,0.0,0.9558,-12658.0,5.4,No
02XXXX,CPI YoY %,0.0998,0.0069,-2481763.0,6.6,Yes
02XXXX,Interest Rate %,0.1097,0.0045,-4918883.0,6.7,Yes
02XXXX,GDP Growth %,0.1839,0.0002,-1065309.0,6.3,Yes
03XXXX,CPI YoY %,0.0196,0.2404,41396.0,0.3,No
03XXXX,Interest Rate %,0.0004,0.8704,10930.0,0.3,No
03XXXX,GDP Growth %,0.0438,0.0778,19546.0,0.2,No
04XXXX,CPI YoY %,0.0495,0.0604,-9081277.0,36.2,No
04XXXX,Interest Rate %,0.0382,0.0998,-15091808.0,37.0,No
04XXXX,GDP Growth %,0.1221,0.0026,-4511291.0,34.0,Yes
05XXXX,CPI YoY %,0.0716,0.023,597621.0,1.9,Yes
05XXXX,Interest Rate %,0.0011,0.7857,137676.0,2.0,No
05XXXX,GDP Growth %,0.1635,0.0004,285568.0,1.9,Yes
06XXXX,CPI YoY %,0.0532,0.0512,-2281545.0,8.6,No
06XXXX,Interest Rate %,0.0504,0.0581,-4196223.0,8.7,No
06XXXX,GDP Growth %,0.0871,0.0118,-922868.0,8.4,Yes
07PROU,CPI YoY %,0.0734,0.0213,2242284.0,7.1,Yes
07PROU,Interest Rate %,0.0083,0.4479,-1421477.0,7.0,No
07PROU,GDP Growth %,0.0699,0.0249,691630.0,7.0,Yes
07SCUS,CPI YoY %,0.0021,0.8809,43599.0,0.2,No
07SCUS,GDP Growth %,0.2235,0.1028,168623.0,0.2,No
07XXXX,CPI YoY %,0.0519,0.0543,3424444.0,13.8,No
07XXXX,Interest Rate %,0.0054,0.5384,-2095455.0,13.6,No
07XXXX,GDP Growth %,0.035,0.1158,888886.0,13.6,No
08XXXX,CPI YoY %,0.095,0.0084,-1314617.0,3.6,Yes
08XXXX,Interest Rate %,0.066,0.0294,-2071179.0,3.7,Yes
08XXXX,GDP Growth %,0.0336,0.1231,-247300.0,3.8,No
09XXXX,CPI YoY %,0.0008,0.8134,32933.0,1.1,No
09XXXX,Interest Rate %,0.0423,0.0829,-452742.0,1.1,No
09XXXX,GDP Growth %,0.0042,0.5895,-23786.0,1.1,No
10XXXX,CPI YoY %,0.0059,0.5231,7415.0,0.1,No
10XXXX,Interest Rate %,0.0129,0.3429,-20786.0,0.1,No
10XXXX,GDP Growth %,0.1476,0.0009,11775.0,0.1,Yes
12XXXX,CPI YoY %,0.0002,0.9177,-6178.0,0.4,No
12XXXX,Interest Rate %,0.0201,0.2346,-133694.0,0.4,No
12XXXX,GDP Growth %,0.0241,0.1933,-24445.0,0.4,No
14XXXX,CPI YoY %,0.0339,0.1218,-82048.0,0.4,No
14XXXX,Interest Rate %,0.0682,0.0267,-220236.0,0.4,Yes
14XXXX,GDP Growth %,0.0687,0.0262,-36949.0,0.4,Yes
15BN03,CPI YoY %,0.0056,0.5331,-28078.0,0.2,No
15BN03,Interest Rate %,0.0263,0.1735,-115342.0,0.2,No
15BN03,GDP Growth %,0.0071,0.4816,-10022.0,0.2,No
15GC30,CPI YoY %,0.0372,0.443,522.0,0.0,No
15GC30,GDP Growth %,0.0834,0.245,-400.0,0.0,No
15XXXX,CPI YoY %,0.006,0.5187,-39.0,0.0,No
15XXXX,Interest Rate %,0.0143,0.3166,-114.0,0.0,No
15XXXX,GDP Growth %,0.0001,0.9266,2.0,0.0,No
16XXXX,CPI YoY %,0.1391,0.0013,-56693.0,0.1,Yes
16XXXX,Interest Rate %,0.076,0.0191,-79233.0,0.1,Yes
16XXXX,GDP Growth %,0.0894,0.0107,-14376.0,0.1,Yes
18XXXX,CPI YoY %,0.033,0.5525,7584.0,0.0,No
18XXXX,Interest Rate %,0.2241,0.1023,85914.0,0.0,No
18XXXX,GDP Growth %,0.3715,0.027,-16661.0,0.0,Yes
